FTT_1088c contig2_BASYS00018
FTT_1455c contig5_BASYS00087
FTT_0047 contig3_BASYS00066
FTT_0048 contig3_BASYS00067
FTT_0045 contig3_BASYS00060
FTT_0049 contig3_BASYS00068
FTT_0050 contig3_BASYS00069
FTT_1529 contig5_BASYS00062
FTT_1531 contig5_BASYS00060
FTT_1530 contig5_BASYS00061
FTT_1526c contig5_BASYS00066
FTT_1528 contig5_BASYS00065
FTT_1524c contig5_BASYS00068
FTT_0466c contig4_BASYS00072
FTT_0468 contig4_BASYS00070
FTT_0467 contig4_BASYS00071
FTT_0464 contig4_BASYS00078
FTT_0443 contig1_BASYS00341
FTT_0747c contig1_BASYS00345
FTT_0748 contig1_BASYS00349
FTT_1460c contig1_BASYS00123
FTT_0178c contig1_BASYS00659
FTT_0174 contig1_BASYS00652
FTT_1396c contig6_BASYS00078
FTT_1274 contig1_BASYS00019
FTT_1275 contig1_BASYS00018
FTT_1279c contig1_BASYS00013
FTT_1280c contig1_BASYS00011
FTT_1281c contig1_BASYS00010
FTT_1276 contig1_BASYS00017
FTT_1277c contig1_BASYS00016
FTT_1278c contig1_BASYS00015
FTT_1063 contig2_BASYS00167
FTT_1062c contig2_BASYS00164
FTT_1060c contig2_BASYS00162
FTT_1061c contig2_BASYS00163
FTT_1059c contig2_BASYS00161
FTT_1138 contig2_BASYS00225
FTT_1137c contig2_BASYS00224
FTT_1136c contig2_BASYS00223
FTT_0842 contig1_BASYS00900
FTT_0846 contig1_BASYS00909
FTT_1322 contig2_BASYS00359
FTT_1321 contig2_BASYS00358
FTT_1352 contig6_BASYS00019
FTT_1315c contig2_BASYS00351
FTT_1314c contig2_BASYS00350
FTT_1317c contig2_BASYS00353
FTT_1316c contig2_BASYS00352
FTT_1319 contig2_BASYS00355
FTT_1318c contig2_BASYS00354
FTT_1320 contig2_BASYS00356
FTT_1632c contig1_BASYS00839
FTT_1636 contig1_BASYS00832
FTT_1635 contig1_BASYS00835
FTT_1633c contig1_BASYS00837
FTT_1634c contig1_BASYS00836
FTT_1348 contig6_BASYS00012
FTT_1346 contig6_BASYS00010
FTT_1347 contig6_BASYS00011
FTT_1350 contig6_BASYS00016
FTT_1351 contig6_BASYS00017
FTT_1349 contig6_BASYS00015
FTT_0804 contig1_BASYS00143
FTT_0803 contig1_BASYS00142
FTT_0806 contig1_BASYS00145
FTT_0805 contig1_BASYS00144
FTT_0808 contig1_BASYS00147
FTT_0963c contig1_BASYS00410
FTT_0340 contig1_BASYS00794
FTT_1373 contig6_BASYS00049
FTT_1241 contig1_BASYS00064
FTT_1240c contig1_BASYS00065
FTT_0454 contig4_BASYS00089
FTT_0455c contig4_BASYS00088
FTT_0456c contig4_BASYS00087
FTT_1242 contig1_BASYS00062
FTT_0458 contig4_BASYS00085
FTT_0459 contig4_BASYS00084
FTT_0460 contig4_BASYS00083
FTT_0461 contig4_BASYS00082
FTT_0462 contig4_BASYS00081
FTT_1244c contig1_BASYS00060
FTT_1243c contig1_BASYS00061
FTT_0087 contig3_BASYS00107
FTT_0086 contig3_BASYS00106
FTT_0085c contig3_BASYS00103
FTT_0084c contig3_BASYS00102
FTT_1691 contig3_BASYS00101
FTT_0088 contig3_BASYS00109
FTT_1522c contig3_BASYS00217
FTT_0380c contig3_BASYS00215
FTT_0059 contig3_BASYS00079
FTT_0058 contig3_BASYS00078
FTT_1397c contig6_BASYS00080
FTT_0054 contig3_BASYS00073
FTT_0053 contig3_BASYS00072
FTT_0052 contig3_BASYS00071
FTT_0051 contig3_BASYS00070
FTT_0057 contig3_BASYS00077
FTT_0056c contig3_BASYS00075
FTT_0055 contig3_BASYS00074
FTT_1464c contig5_BASYS00071
FTT_1463c contig5_BASYS00077
FTT_1448c contig5_BASYS00079
FTT_1462c contig5_BASYS00078
FTT_0476c contig4_BASYS00061
FTT_0477c contig4_BASYS00060
FTT_0475 contig4_BASYS00063
FTT_0473 contig4_BASYS00065
FTT_0474 contig4_BASYS00064
FTT_0471 contig4_BASYS00067
FTT_0472 contig4_BASYS00066
FTT_0469 contig4_BASYS00069
FTT_0470 contig4_BASYS00068
FTT_0743 contig1_BASYS00336
FTT_0623 contig1_BASYS00248
FTT_0621 contig1_BASYS00242
FTT_0622c contig1_BASYS00247
FTT_1763c contig1_BASYS00483
FTT_1762c contig1_BASYS00484
FTT_1761 contig1_BASYS00485
FTT_1760 contig1_BASYS00487
FTT_0299 contig1_BASYS00753
FTT_1020c contig1_BASYS00463
FTT_1018c contig1_BASYS00460
FTT_1019c contig1_BASYS00461
FTT_1021c contig1_BASYS00466
FTT_0753 contig1_BASYS00468
FTT_0344 contig1_BASYS00798
FTT_0345 contig1_BASYS00799
FTT_1237 contig1_BASYS00068
FTT_1236 contig1_BASYS00069
FTT_1238c contig1_BASYS00066
FTT_0341 contig1_BASYS00795
FTT_0342 contig1_BASYS00796
FTT_0343 contig1_BASYS00797
FTT_0336 contig1_BASYS00790
FTT_0337 contig1_BASYS00791
FTT_0338 contig1_BASYS00792
FTT_0339 contig1_BASYS00793
FTT_1048c contig2_BASYS00178
FTT_0556c contig2_BASYS00174
FTT_0559c contig2_BASYS00171
FTT_0560c contig2_BASYS00170
FTT_0557 contig2_BASYS00173
FTT_0558 contig2_BASYS00172
FTT_0519 contig2_BASYS00218
FTT_0180 contig1_BASYS00663
FTT_0181c contig1_BASYS00664
FTT_0182c contig1_BASYS00665
FTT_0183c contig1_BASYS00666
FTT_0184 contig1_BASYS00667
FTT_0185 contig1_BASYS00668
FTT_0186 contig1_BASYS00669
FTT_0871 contig1_BASYS00938
FTT_0872c contig1_BASYS00939
FTT_0868c contig1_BASYS00932
FTT_0869 contig1_BASYS00934
FTT_1389 contig6_BASYS00069
FTT_1328c contig2_BASYS00369
FTT_1325c contig2_BASYS00365
FTT_1323 contig2_BASYS00360
FTT_1324 contig2_BASYS00361
FTT_1484c contig5_BASYS00001
FTT_0350 contig1_BASYS00804
FTT_0351 contig1_BASYS00805
FTT_0356 contig1_BASYS00806
FTT_0346 contig1_BASYS00800
FTT_0347 contig1_BASYS00801
FTT_0348 contig1_BASYS00802
FTT_0349 contig1_BASYS00803
FTT_1578c contig5_BASYS00003
FTT_1387c contig6_BASYS00067
FTT_1577 contig5_BASYS00007
FTT_1385c contig6_BASYS00065
FTT_1384c contig6_BASYS00063
FTT_1383 contig6_BASYS00062
FTT_0389 contig4_BASYS00187
FTT_0391c contig4_BASYS00184
FTT_0390c contig4_BASYS00185
FTT_0392c contig4_BASYS00182
FTT_0396 contig4_BASYS00180
FTT_0393 contig4_BASYS00181
FTT_0388 contig4_BASYS00188
FTT_0387 contig4_BASYS00189
FTT_1382 contig6_BASYS00061
FTT_1493c contig3_BASYS00265
FTT_1494c contig3_BASYS00263
FTT_1495c contig3_BASYS00260
FTT_1727c contig3_BASYS00008
FTT_1728 contig3_BASYS00007
FTT_1731c contig3_BASYS00002
FTT_1730c contig3_BASYS00003
FTT_1732c contig3_BASYS00001
FTT_1537c contig5_BASYS00047
FTT_1539c contig5_BASYS00041
FTT_1538c contig5_BASYS00043
FTT_0481 contig4_BASYS00054
FTT_0480c contig4_BASYS00055
FTT_0479c contig4_BASYS00056
FTT_0485 contig4_BASYS00050
FTT_0484 contig4_BASYS00051
FTT_0483c contig4_BASYS00052
FTT_0478c contig4_BASYS00058
FTT_0689 contig1_BASYS00325
FTT_0688c contig1_BASYS00324
FTT_0691 contig1_BASYS00327
FTT_0690c contig1_BASYS00326
FTT_0687c contig1_BASYS00323
FTT_0631 contig1_BASYS00258
FTT_0625 contig1_BASYS00251
FTT_0624 contig1_BASYS00250
FTT_0627 contig1_BASYS00253
FTT_0626 contig1_BASYS00252
FTT_0629 contig1_BASYS00255
FTT_0628 contig1_BASYS00254
FTT_0630 contig1_BASYS00256
FTT_1758c contig1_BASYS00490
FTT_1031 contig2_BASYS00140
FTT_1034c contig2_BASYS00142
FTT_1035c contig2_BASYS00143
FTT_1036c contig2_BASYS00144
FTT_1037c contig2_BASYS00145
FTT_1039 contig2_BASYS00146
FTT_1040 contig2_BASYS00147
FTT_1041 contig2_BASYS00148
FTT_1042 contig2_BASYS00149
FTT_1229 contig1_BASYS00079
FTT_1230 contig1_BASYS00078
FTT_1231 contig1_BASYS00077
FTT_1235c contig1_BASYS00070
FTT_1233c contig1_BASYS00073
FTT_1234 contig1_BASYS00072
FTT_0329 contig1_BASYS00783
FTT_0328 contig1_BASYS00782
FTT_0327 contig1_BASYS00781
FTT_0326 contig1_BASYS00780
FTT_0334 contig1_BASYS00787
FTT_0332 contig1_BASYS00786
FTT_0331 contig1_BASYS00785
FTT_0330 contig1_BASYS00784
FTT_0335 contig1_BASYS00788
FTT_0532c contig2_BASYS00209
FTT_0533c contig2_BASYS00208
FTT_0534c contig2_BASYS00207
FTT_0535c contig2_BASYS00206
FTT_0536 contig2_BASYS00205
FTT_0537 contig2_BASYS00204
FTT_1376 contig6_BASYS00052
FTT_0192 contig1_BASYS00676
FTT_0191 contig1_BASYS00674
FTT_0190c contig1_BASYS00673
FTT_0189 contig1_BASYS00672
FTT_0188 contig1_BASYS00671
FTT_0187 contig1_BASYS00670
FTT_0193c contig1_BASYS00679
FTT_1331 contig2_BASYS00377
FTT_1330 contig2_BASYS00376
FTT_1329 contig2_BASYS00375
FTT_1333c contig2_BASYS00379
FTT_1332 contig2_BASYS00378
FTT_0603 contig1_BASYS00926
FTT_0864c contig1_BASYS00925
FTT_0863c contig1_BASYS00923
FTT_0862c contig1_BASYS00922
FTT_0861c contig1_BASYS00921
FTT_0860c contig1_BASYS00920
FTT_0372c contig1_BASYS00813
FTT_0373c contig1_BASYS00812
FTT_0374c contig1_BASYS00811
FTT_0368c contig1_BASYS00817
FTT_0369c contig1_BASYS00816
FTT_0370c contig1_BASYS00815
FTT_0371c contig1_BASYS00814
FTT_0366 contig1_BASYS00819
FTT_0367c contig1_BASYS00818
FTT_1341 contig4_BASYS00195
FTT_1342 contig4_BASYS00197
FTT_0385 contig4_BASYS00191
FTT_0386 contig4_BASYS00190
FTT_0383 contig4_BASYS00193
FTT_0384c contig4_BASYS00192
FTT_1343c contig4_BASYS00198
FTT_1370 contig6_BASYS00046
FTT_1489 contig3_BASYS00275
FTT_1488 contig3_BASYS00276
FTT_1490 contig3_BASYS00273
FTT_1366c contig6_BASYS00042
FTT_0463 contig4_BASYS00080
FTT_1293c contig1_BASYS01020
FTT_1291 contig1_BASYS01022
FTT_1290 contig1_BASYS01024
FTT_1724c contig3_BASYS00014
FTT_1723c contig3_BASYS00017
FTT_1725c contig3_BASYS00013
FTT_1726 contig3_BASYS00012
FTT_1532 contig5_BASYS00059
FTT_1557c contig5_BASYS00027
FTT_1536c contig5_BASYS00050
FTT_1534c contig5_BASYS00056
FTT_0489c contig4_BASYS00042
FTT_1581c contig4_BASYS00041
FTT_0486 contig4_BASYS00047
FTT_0686c contig1_BASYS00319
FTT_0680c contig1_BASYS00310
FTT_0681c contig1_BASYS00311
FTT_0682c contig1_BASYS00312
FTT_0683c contig1_BASYS00314
FTT_0684c contig1_BASYS00315
FTT_0685c contig1_BASYS00317
FTT_0071c contig3_BASYS00090
FTT_0645c contig1_BASYS00268
FTT_0644c contig1_BASYS00267
FTT_0633 contig1_BASYS00260
FTT_0634 contig1_BASYS00261
FTT_0635 contig1_BASYS00262
FTT_0636 contig1_BASYS00263
FTT_1447c contig5_BASYS00112
FTT_0792 contig5_BASYS00110
FTT_1057c contig2_BASYS00157
FTT_1056c contig2_BASYS00156
FTT_1055c contig2_BASYS00155
FTT_1054c contig2_BASYS00154
FTT_1046c contig2_BASYS00153
FTT_1045c contig2_BASYS00152
FTT_1044c contig2_BASYS00151
FTT_1043 contig2_BASYS00150
FTT_1444c contig5_BASYS00116
FTT_1058c contig2_BASYS00159
FTT_1000c contig1_BASYS00447
FTT_0995 contig1_BASYS00441
FTT_0997 contig1_BASYS00443
FTT_1445 contig5_BASYS00115
FTT_1001 contig1_BASYS00449
FTT_1256 contig1_BASYS00041
FTT_1255c contig1_BASYS00045
FTT_1254 contig1_BASYS00046
FTT_1252 contig1_BASYS00048
FTT_1251c contig1_BASYS00049
FTT_1369c contig6_BASYS00045
FTT_0203c contig1_BASYS00688
FTT_0204 contig1_BASYS00689
FTT_0196c contig1_BASYS00683
FTT_0194c contig1_BASYS00680
FTT_0195c contig1_BASYS00681
FTT_0198 contig1_BASYS00686
FTT_0197c contig1_BASYS00684
FTT_1368c contig6_BASYS00044
FTT_1134 contig2_BASYS00307
FTT_1133 contig2_BASYS00304
FTT_1132c contig2_BASYS00302
FTT_1127 contig2_BASYS00300
FTT_1128 contig2_BASYS00301
FTT_1607 contig1_BASYS00866
FTT_1606 contig1_BASYS00867
FTT_1609 contig1_BASYS00864
FTT_1608 contig1_BASYS00865
FTT_1611 contig1_BASYS00862
FTT_1610 contig1_BASYS00863
FTT_1613 contig1_BASYS00860
FTT_1612 contig1_BASYS00861
FTT_1765 contig7_BASYS00013
FTT_1605 contig1_BASYS00868
FTT_1604 contig1_BASYS00869
FTT_1769c contig7_BASYS00012
FTT_0593c contig7_BASYS00015
FTT_1764c contig7_BASYS00014
FTT_0712c contig2_BASYS00418
FTT_0711 contig2_BASYS00419
FTT_0715 contig2_BASYS00413
FTT_0714c contig2_BASYS00416
FTT_0713c contig2_BASYS00417
FTT_1367c contig6_BASYS00043
FTT_1499 contig3_BASYS00248
FTT_1505c contig3_BASYS00240
FTT_1504 contig3_BASYS00242
FTT_1503 contig3_BASYS00243
FTT_1502 contig3_BASYS00244
FTT_1500 contig3_BASYS00246
FTT_1294 contig1_BASYS01019
FTT_1298 contig1_BASYS01014
FTT_1297 contig1_BASYS01015
FTT_1296 contig1_BASYS01016
FTT_1295c contig1_BASYS01017
FTT_1303c contig1_BASYS01010
FTT_1302 contig1_BASYS01011
FTT_1299 contig1_BASYS01013
FTT_1722c contig3_BASYS00021
FTT_1721c contig3_BASYS00022
FTT_1720c contig3_BASYS00024
FTT_1560 contig5_BASYS00024
FTT_1559c contig5_BASYS00025
FTT_1562 contig5_BASYS00022
FTT_1561 contig5_BASYS00023
FTT_1564 contig5_BASYS00020
FTT_1563 contig5_BASYS00021
FTT_1442c contig5_BASYS00118
FTT_1441 contig5_BASYS00119
FTT_0494c contig4_BASYS00038
FTT_0491c contig4_BASYS00039
FTT_0495 contig4_BASYS00036
FTT_0496 contig4_BASYS00035
FTT_0501c contig4_BASYS00030
FTT_0679c contig1_BASYS00309
FTT_0676 contig1_BASYS00308
FTT_0675 contig1_BASYS00307
FTT_0674 contig1_BASYS00306
FTT_0673c contig1_BASYS00305
FTT_0671 contig1_BASYS00300
FTT_1475 contig2_BASYS00095
FTT_1476 contig2_BASYS00098
FTT_1477c contig2_BASYS00099
FTT_0414 contig4_BASYS00142
FTT_0413c contig4_BASYS00144
FTT_0412c contig4_BASYS00149
FTT_0648c contig1_BASYS00272
FTT_0647c contig1_BASYS00271
FTT_0646c contig1_BASYS00270
FTT_0651 contig1_BASYS00277
FTT_0650c contig1_BASYS00275
FTT_0649c contig1_BASYS00274
FTT_0652c contig1_BASYS00278
FTT_1016c contig1_BASYS00459
FTT_1015 contig1_BASYS00458
FTT_1003c contig1_BASYS00451
FTT_1002c contig1_BASYS00450
FTT_1014c contig1_BASYS00457
FTT_1013c contig1_BASYS00456
FTT_1004c contig1_BASYS00454
FTT_1247 contig1_BASYS00057
FTT_1248 contig1_BASYS00055
FTT_1249 contig1_BASYS00053
FTT_1250 contig1_BASYS00052
FTT_1245 contig1_BASYS00059
FTT_1246 contig1_BASYS00058
FTT_0212c contig1_BASYS00699
FTT_0211c contig1_BASYS00698
FTT_0205 contig1_BASYS00690
FTT_0208c contig1_BASYS00695
FTT_0207c contig1_BASYS00694
FTT_0209c contig1_BASYS00696
FTT_0579 contig2_BASYS00315
FTT_0580 contig2_BASYS00314
FTT_0577 contig2_BASYS00317
FTT_0578 contig2_BASYS00316
FTT_0583 contig2_BASYS00311
FTT_0581 contig2_BASYS00313
FTT_0582 contig2_BASYS00312
FTT_0576 contig2_BASYS00319
FTT_1600c contig1_BASYS00874
FTT_0823 contig1_BASYS00877
FTT_1601c contig1_BASYS00871
FTT_1603 contig1_BASYS00870
FTT_1379c contig6_BASYS00055
FTT_0825c contig1_BASYS00879
FTT_0824 contig1_BASYS00878
FTT_0719 contig2_BASYS00409
FTT_0725c contig2_BASYS00400
FTT_0721c contig2_BASYS00405
FTT_0720c contig2_BASYS00407
FTT_1377 contig6_BASYS00053
FTT_1374 contig6_BASYS00050
FTT_1375 contig6_BASYS00051
FTT_1426a contig5_BASYS00140
FTT_0918 contig1_BASYS01002
FTT_0917 contig1_BASYS01001
FTT_0916c contig1_BASYS01000
FTT_1305c contig1_BASYS01007
FTT_1306c contig1_BASYS01006
FTT_1307c contig1_BASYS01005
FTT_1304c contig1_BASYS01008
FTT_1496c contig3_BASYS00257
FTT_1497c contig3_BASYS00255
FTT_1498c contig3_BASYS00254
FTT_0018 contig3_BASYS00036
FTT_0017 contig3_BASYS00035
FTT_0016 contig3_BASYS00032
FTT_0015 contig3_BASYS00030
FTT_1543 contig5_BASYS00035
FTT_0014c contig5_BASYS00037
FTT_1542c contig5_BASYS00036
FTT_1553c contig5_BASYS00031
FTT_1554c contig5_BASYS00030
FTT_0019 contig3_BASYS00039
FTT_1461c contig5_BASYS00109
FTT_0504c contig4_BASYS00025
FTT_0505 contig4_BASYS00024
FTT_0502c contig4_BASYS00027
FTT_0503c contig4_BASYS00026
FTT_0507 contig4_BASYS00021
FTT_0297 contig1_BASYS00751
FTT_0298 contig1_BASYS00752
FTT_1470c contig2_BASYS00085
FTT_1472c contig2_BASYS00087
FTT_1471c contig2_BASYS00086
FTT_1469c contig2_BASYS00082
FTT_1473c contig2_BASYS00089
FTT_0411c contig4_BASYS00152
FTT_0409 contig4_BASYS00159
FTT_0410 contig4_BASYS00158
FTT_0594c contig1_BASYS00207
FTT_0595c contig1_BASYS00208
FTT_0981 contig1_BASYS00428
FTT_0985 contig1_BASYS00429
FTT_0977c contig1_BASYS00426
FTT_0978c contig1_BASYS00427
FTT_0976 contig1_BASYS00424
FTT_0975 contig1_BASYS00423
FTT_0973 contig1_BASYS00420
FTT_0002 contig1_BASYS00518
FTT_0256c contig1_BASYS00519
FTT_1802c contig1_BASYS00512
FTT_1794 contig1_BASYS00510
FTT_1795c contig1_BASYS00511
FTT_1804c contig1_BASYS00516
FTT_0001 contig1_BASYS00517
FTT_1803c contig1_BASYS00514
FTT_0761c contig1_BASYS00515
FTT_0287c contig1_BASYS00732
FTT_0288c contig1_BASYS00733
FTT_0286c contig1_BASYS00731
FTT_0289c contig1_BASYS00734
FTT_0290 contig1_BASYS00735
FTT_0291 contig1_BASYS00738
FTT_0562 contig2_BASYS00328
FTT_0563 contig2_BASYS00329
FTT_0575 contig2_BASYS00320
FTT_0573 contig2_BASYS00322
FTT_0571 contig2_BASYS00323
FTT_0570 contig2_BASYS00324
FTT_0569c contig2_BASYS00325
FTT_0568 contig2_BASYS00326
FTT_1616 contig1_BASYS00849
FTT_1631c contig1_BASYS00840
FTT_1630c contig1_BASYS00841
FTT_1629c contig1_BASYS00842
FTT_1625c contig1_BASYS00843
FTT_1622c contig1_BASYS00846
FTT_1353 contig6_BASYS00021
FTT_0704 contig2_BASYS00434
FTT_0705 contig2_BASYS00431
FTT_1355 contig6_BASYS00027
FTT_0914c contig1_BASYS00998
FTT_0915c contig1_BASYS00999
FTT_0913 contig1_BASYS00996
FTT_0912c contig1_BASYS00995
FTT_0910 contig1_BASYS00990
FTT_0911 contig1_BASYS00991
FTT_1372 contig6_BASYS00048
FTT_1428c contig5_BASYS00139
FTT_1431 contig5_BASYS00134
FTT_1435c contig5_BASYS00130
FTT_1434c contig5_BASYS00131
FTT_1433 contig5_BASYS00132
FTT_1432c contig5_BASYS00133
FTT_0695 contig4_BASYS00010
FTT_0694 contig4_BASYS00011
FTT_0693c contig4_BASYS00012
FTT_0512 contig4_BASYS00013
FTT_0511 contig4_BASYS00014
FTT_0510 contig4_BASYS00017
FTT_0509c contig4_BASYS00018
FTT_0508c contig4_BASYS00019
FTT_1184c contig1_BASYS00185
FTT_1185c contig1_BASYS00184
FTT_1183c contig1_BASYS00186
FTT_1186 contig1_BASYS00183
FTT_1187 contig1_BASYS00182
FTT_0406 contig4_BASYS00166
FTT_0408 contig4_BASYS00160
FTT_0407 contig4_BASYS00161
FTT_1576 contig5_BASYS00008
FTT_0405 contig4_BASYS00169
FTT_1600a contig1_BASYS00217
FTT_0598c contig1_BASYS00213
FTT_0597 contig1_BASYS00212
FTT_0552 contig2_BASYS00183
FTT_0994c contig1_BASYS00439
FTT_0993c contig1_BASYS00437
FTT_0992 contig1_BASYS00436
FTT_0986 contig1_BASYS00430
FTT_0991 contig1_BASYS00433
FTT_0990 contig1_BASYS00432
FTT_1782c contig1_BASYS00500
FTT_0639 contig1_BASYS00505
FTT_1793c contig1_BASYS00507
FTT_0281 contig1_BASYS00725
FTT_0280c contig1_BASYS00724
FTT_0283 contig1_BASYS00727
FTT_0282 contig1_BASYS00726
FTT_0285 contig1_BASYS00729
FTT_0284 contig1_BASYS00728
FTT_1357c contig2_BASYS00052
FTT_1108 contig2_BASYS00053
FTT_1105c contig2_BASYS00050
FTT_1106 contig2_BASYS00051
FTT_0555 contig2_BASYS00057
FTT_0769 contig2_BASYS00338
FTT_0772 contig2_BASYS00332
FTT_0773 contig2_BASYS00331
FTT_0564 contig2_BASYS00330
FTT_0708 contig2_BASYS00423
FTT_0709 contig2_BASYS00421
FTT_0710 contig2_BASYS00420
FTT_0707 contig2_BASYS00425
FTT_1591 contig1_BASYS00859
FTT_1590c contig1_BASYS00858
FTT_1589c contig1_BASYS00857
FTT_1587c contig1_BASYS00854
FTT_1617 contig1_BASYS00850
FTT_0909 contig1_BASYS00989
FTT_0907 contig1_BASYS00985
FTT_0906c contig1_BASYS00984
FTT_0908 contig1_BASYS00987
FTT_0904 contig1_BASYS00980
FTT_0905 contig1_BASYS00983
FTT_0698 contig4_BASYS00007
FTT_0699 contig4_BASYS00006
FTT_0700 contig4_BASYS00005
FTT_0701 contig4_BASYS00003
FTT_0702 contig4_BASYS00002
FTT_0703 contig4_BASYS00001
FTT_0696 contig4_BASYS00009
FTT_0697 contig4_BASYS00008
FTT_1439c contig5_BASYS00125
FTT_1568c contig5_BASYS00017
FTT_1569c contig5_BASYS00016
FTT_0397 contig4_BASYS00179
FTT_0398c contig4_BASYS00178
FTT_1572c contig5_BASYS00013
FTT_1573c contig5_BASYS00012
FTT_1574c contig5_BASYS00011
FTT_1575c contig5_BASYS00010
FTT_0402 contig4_BASYS00172
FTT_0403 contig4_BASYS00171
FTT_0404 contig4_BASYS00170
FTT_0399c contig4_BASYS00176
FTT_0400 contig4_BASYS00174
FTT_0610 contig1_BASYS00228
FTT_0607 contig1_BASYS00222
FTT_0608 contig1_BASYS00223
FTT_0609 contig1_BASYS00225
FTT_0548 contig2_BASYS00192
FTT_0549 contig2_BASYS00191
FTT_0550 contig2_BASYS00190
FTT_0541c contig2_BASYS00197
FTT_0540c contig2_BASYS00198
FTT_1395c contig1_BASYS00538
FTT_1650c contig1_BASYS00535
FTT_1648c contig1_BASYS00536
FTT_1647c contig1_BASYS00537
FTT_1660c contig1_BASYS00530
FTT_1220 contig1_BASYS00088
FTT_1219c contig1_BASYS00089
FTT_1224c contig1_BASYS00084
FTT_1223 contig1_BASYS00085
FTT_1222 contig1_BASYS00086
FTT_1221 contig1_BASYS00087
FTT_1228 contig1_BASYS00080
FTT_1227 contig1_BASYS00081
FTT_1226c contig1_BASYS00082
FTT_1225c contig1_BASYS00083
FTT_0278c contig1_BASYS00710
FTT_0279c contig1_BASYS00712
FTT_0811c contig1_BASYS00150
FTT_0812 contig1_BASYS00151
FTT_0817 contig1_BASYS00158
FTT_0818 contig1_BASYS00159
FTT_1100 contig2_BASYS00041
FTT_1103 contig2_BASYS00045
FTT_1570c contig5_BASYS00015
FTT_1571c contig5_BASYS00014
FTT_1118c contig2_BASYS00290
FTT_1119 contig2_BASYS00291
FTT_1120c contig2_BASYS00294
FTT_1123 contig2_BASYS00295
FTT_1125 contig2_BASYS00298
FTT_1126 contig2_BASYS00299
FTT_1567c contig5_BASYS00018
FTT_0826c contig1_BASYS00880
FTT_0827c contig1_BASYS00882
FTT_1778c contig7_BASYS00002
FTT_1776c contig7_BASYS00003
FTT_0831c contig1_BASYS00888
